date,close
2016-01-04,10000.0
2016-01-05,10005.713968768723
2016-01-06,9858.649601371808
2016-01-07,9629.830037617436
2016-01-08,9532.0980515674
2016-01-11,9562.478780470277
2016-01-12,9631.054378144918
2016-01-13,9418.3300519109
2016-01-14,9551.049704011406
2016-01-15,9323.104831908295
2016-01-19,9339.37432440605
2016-01-20,9194.00068585848
2016-01-21,9261.643506889392
2016-01-22,9384.56672638791
2016-01-25,9263.101326308162
2016-01-26,9427.543356745382
2016-01-27,9297.680689029237
2016-01-28,9370.629744960188
2016-01-29,9601.957213683412
2016-02-01,9591.98481772189
2016-02-02,9419.554392438382
2016-02-03,9526.383513337965
2016-02-04,9572.975080285418
2016-02-05,9449.585472465038
2016-02-08,9345.788729848637
2016-02-09,9338.441547762322
2016-02-10,9280.303595449644
2016-02-11,9131.897578618891
2016-02-12,9314.766218725075
2016-02-16,9444.570801448754
2016-02-17,9594.668116589562
2016-02-18,9571.109526997961
2016-02-19,9558.630364989009
2016-02-22,9691.991229849491
2016-02-23,9581.83930570439
2016-02-24,9612.86124736724
2016-02-25,9736.65972797773
2016-02-26,9703.24605133096
2016-02-29,9631.229772043738
2016-03-01,9834.507884012697
2016-03-02,9854.45153701432
2016-03-03,9880.458807660887
2016-03-04,9917.137772021417
2016-03-07,9956.265417436909
2016-03-08,9892.237532995978
2016-03-09,9913.40552652508
2016-03-10,9910.314493788721
2016-03-11,10037.55365601179
2016-03-14,10046.766391385561
2016-03-15,10059.828681162024
2016-03-16,10103.155529856427
2016-03-17,10193.948067688834
2016-03-18,10264.390357572353
2016-03-21,10276.985689566238
2016-03-22,10252.902057199595
2016-03-23,10206.251835798965
2016-03-24,10213.890581769034
2016-03-28,10225.378882141791
2016-03-29,10282.350009458743
2016-03-30,10331.099263038117
2016-03-31,10312.672653369153
2016-04-01,10375.476197282602
2016-04-04,10342.937212287094
2016-04-05,10264.97348533986
2016-04-06,10330.749614161896
2016-04-07,10229.22729762306
2016-04-08,10249.636769485835
2016-04-11,10237.624565259457
2016-04-12,10333.723337991902
2016-04-13,10442.827454429762
2016-04-14,10453.38183923737
2016-04-15,10436.529218972108
2016-04-18,10498.748496196627
2016-04-19,10527.555235695803
2016-04-20,10552.45547472124
2016-04-21,10486.095079210276
2016-04-22,10498.516156226762
2016-04-25,10483.004046473916
2016-04-26,10490.643931365406
2016-04-27,10520.557702485707
2016-04-28,10397.6350524479
2016-04-29,10364.279460793598
2016-05-02,10432.85505846824
2016-05-03,10351.042916039738
2016-05-04,10292.963618180238
2016-05-05,10298.444108057676
2016-05-06,10345.03624446584
2016-05-09,10324.802166501882
2016-05-10,10454.490009779918
2016-05-11,10327.833975324356
2016-05-12,10333.315604123214
2016-05-13,10225.320797149325
2016-05-16,10327.60049643307
2016-05-17,10222.229764412965
2016-05-18,10220.246902219154
2016-05-19,10167.066105391004
2016-05-20,10205.260974162771
2016-05-23,10200.595952022706
2016-05-24,10324.918336486817
2016-05-25,10409.705341666746
2016-05-26,10396.177233029131
2016-05-27,10422.3587586531
2016-05-31,10372.20977064742
2016-06-01,10373.66759006619
2016-06-02,10402.18276568161
2016-06-03,10383.814241005111
2016-06-06,10449.824987639855
2016-06-07,10460.321287454997
2016-06-08,10499.273538971669
2016-06-09,10487.66906861398
2016-06-10,10417.752960426922
2016-06-13,10340.313137333307
2016-06-14,10306.667120716673
2016-06-15,10286.489988823763
2016-06-16,10340.662786209528
2016-06-17,10306.89946068654
2016-06-20,10382.531815485163
2016-06-21,10396.992700766505
2016-06-22,10368.478664072507
2016-06-23,10502.772305576718
2016-06-24,10146.890112419518
2016-06-27,9994.92610506983
2016-06-28,10152.0790384132
2016-06-29,10318.270452152943
2016-06-30,10455.480871416114
