date,Mean Var
2016-01-04,11421.644420258046
2016-01-05,11377.662284293465
2016-01-06,11250.017718120647
2016-01-07,11021.15293485817
2016-01-08,10916.41541778994
2016-01-11,10960.524801732161
2016-01-12,11119.041707871087
2016-01-13,10821.896759748233
2016-01-14,10942.398126675602
2016-01-15,10710.443957025233
2016-01-19,10773.34521097233
2016-01-20,10738.920629323871
2016-01-21,10785.098211915472
2016-01-22,11015.489143229976
2016-01-25,10870.65515350801
2016-01-26,10924.868790528062
2016-01-27,10700.55595326715
2016-01-28,10661.618981076095
2016-01-29,10990.853931962702
2016-02-01,11025.292059616711
2016-02-02,10801.945953768874
2016-02-03,10837.189803080058
2016-02-04,10803.454747047945
2016-02-05,10385.349209630016
2016-02-08,10099.514842117464
2016-02-09,10251.255064997771
2016-02-10,10325.931565094432
2016-02-11,10232.50709880135
2016-02-12,10388.425871405441
2016-02-16,10554.544255415105
2016-02-17,10782.350585633041
2016-02-18,10680.172535925725
2016-02-19,10745.712338687901
2016-02-22,10898.77963033106
2016-02-23,10836.164381895565
2016-02-24,10858.150678658074
2016-02-25,11080.45061949935
2016-02-26,11053.635323620081
2016-02-29,10906.98735054971
2016-03-01,11180.379121584483
2016-03-02,11141.086025107641
2016-03-03,11171.088514089417
2016-03-04,11166.528743607767
2016-03-07,11091.796504903337
2016-03-08,11063.724053870414
2016-03-09,11049.24982488831
2016-03-10,11048.094798422997
2016-03-11,11226.39484894209
2016-03-14,11269.65711948711
2016-03-15,11284.991233610766
2016-03-16,11352.689641723719
2016-03-17,11434.326284485986
2016-03-18,11477.78814570529
2016-03-21,11501.901312579255
2016-03-22,11520.234914479528
2016-03-23,11448.759254417273
2016-03-24,11442.009431978604
2016-03-28,11445.42299704875
2016-03-29,11547.189908730503
2016-03-30,11657.06678692107
2016-03-31,11629.432437669615
2016-04-01,11783.157102495597
2016-04-04,11752.304182221502
2016-04-05,11599.332706189922
2016-04-06,11735.134382192478
2016-04-07,11603.14973529284
2016-04-08,11578.42270353063
2016-04-11,11521.6515769429
2016-04-12,11612.071931542952
2016-04-13,11716.036526205899
2016-04-14,11724.412554009243
2016-04-15,11710.620366663094
2016-04-18,11791.505667765618
2016-04-19,11804.515097924486
2016-04-20,11801.36902001682
2016-04-21,11780.149051147077
2016-04-22,11762.76672889074
2016-04-25,11751.909154455592
2016-04-26,11761.63369682777
2016-04-27,11678.127375346805
2016-04-28,11542.570844852647
2016-04-29,11514.492993449128
2016-05-02,11633.923681575465
2016-05-03,11562.321793194613
2016-05-04,11516.435616146595
2016-05-05,11509.065073968923
2016-05-06,11507.168305768593
2016-05-09,11571.259146755165
2016-05-10,11683.513679966534
2016-05-11,11458.201490647862
2016-05-12,11447.103110676046
2016-05-13,11370.677845348499
2016-05-16,11487.16064670305
2016-05-17,11338.053304527162
2016-05-18,11352.651850177668
2016-05-19,11379.679810399059
2016-05-20,11430.089113318652
2016-05-23,11404.75796815334
2016-05-24,11565.945757962007
2016-05-25,11615.012624128578
2016-05-26,11612.08755077234
2016-05-27,11663.282748028769
2016-05-31,11609.306084327121
2016-06-01,11600.879836708453
2016-06-02,11648.273681172339
2016-06-03,11614.441439768532
2016-06-06,11656.35958476538
2016-06-07,11637.457555529556
2016-06-08,11700.306758564107
2016-06-09,11698.405382688548
2016-06-10,11676.572786326346
2016-06-13,11609.301902723444
2016-06-14,11568.681711678577
2016-06-15,11566.04436951482
2016-06-16,11581.018150040876
2016-06-17,11482.627281689842
2016-06-20,11547.163230232389
2016-06-21,11558.29795091618
2016-06-22,11521.283134654506
2016-06-23,11633.33828581805
2016-06-24,11280.601666314647
2016-06-27,11107.62212864749
2016-06-28,11305.174518535398
2016-06-29,11494.067829449064
2016-06-30,11529.450386686149
2016-07-01,11576.937414545606
2016-07-05,11558.16299683166
2016-07-06,11584.30442341245
2016-07-07,11574.36877024039
2016-07-08,11765.852905150441
2016-07-11,11788.646497246622
2016-07-12,11833.834659197266
2016-07-13,11818.85140471272
2016-07-14,11906.491213377663
2016-07-15,11883.416617053954
2016-07-18,11909.237120556936
2016-07-19,11922.767480267805
2016-07-20,11948.04780758365
2016-07-21,11887.659023369568
2016-07-22,11928.876975107945
2016-07-25,11883.750285264116
2016-07-26,11831.591496208799
2016-07-27,11834.614977981617
2016-07-28,11889.46086703768
2016-07-29,11873.352072467986
2016-08-01,11893.267350778386
2016-08-02,11831.915848016215
2016-08-03,11857.365240554289
2016-08-04,11852.824501407382
2016-08-05,11947.454430446836
2016-08-08,11927.40008863601
2016-08-09,11936.64312640328
2016-08-10,11924.169441155882
2016-08-11,12019.64776412908
2016-08-12,12019.467335164216
2016-08-15,12024.750529677927
2016-08-16,11953.705812265025
2016-08-17,11954.109208083466
2016-08-18,11954.888271075422
2016-08-19,11996.347240525944
2016-08-22,11983.999451293397
2016-08-23,12023.650808445582
2016-08-24,11945.914254294154
2016-08-25,11910.03657275971
2016-08-26,11873.794087416638
2016-08-29,11895.405132174537
2016-08-30,11859.200604756617
2016-08-31,11830.887939161288
2016-09-01,11811.62816844965
2016-09-02,11840.551980276548
2016-09-06,11820.126094217467
2016-09-07,11831.421026536398
2016-09-08,11785.076797080914
2016-09-09,11553.666941738162
2016-09-12,11724.22468695647
2016-09-13,11590.847108170528
2016-09-14,11611.319211916172
2016-09-15,11722.700931533098
2016-09-16,11718.932631611744
2016-09-19,11676.501511886265
2016-09-20,11695.68612633187
2016-09-21,11777.82192618319
2016-09-22,11873.059512901324
2016-09-23,11734.18783079656
2016-09-26,11616.90413181141
2016-09-27,11669.227563243989
2016-09-28,11661.67268127513
2016-09-29,11516.1817104545
2016-09-30,11620.319541945191
2016-10-03,11578.70213022988
2016-10-04,11595.709232164736
2016-10-05,11522.642796887014
2016-10-06,11586.996702148115
2016-10-07,11549.460304857015
2016-10-10,11649.598031232643
2016-10-11,11481.253756525994
2016-10-12,11517.061042251597
