train/critic_loss,time/time_elapsed,time/fps,train/n_updates,time/episodes,train/learning_rate,train/actor_loss,time/total_timesteps,train/reward
0.03013108003859883,101,59,4530,4,0.001,-3.2560591141909163,6040,-0.028812492
0.014303833244843347,230,52,10570,8,0.001,-2.1617139464972035,12080,-0.028812492
0.005104723802015235,362,50,16610,12,0.001,-1.4578105216784194,18120,-0.028812492
0.002961986188835384,490,49,22650,16,0.001,-1.0111596744976297,24160,-0.028812492
0.0029019350534079855,612,49,28690,20,0.001,-0.7132384680359569,30200,-0.028812492
0.0006521281385748024,729,49,34730,24,0.001,-0.5247949934953096,36240,-0.028812492
0.0004994695798597231,847,49,40770,28,0.001,-0.4105431249007484,42280,-0.028812492
0.0007557793502610667,966,50,46810,32,0.001,-0.3210857641420617,48320,-0.028812492
