,date,account_value
0,2016-01-04,10000.0
1,2016-01-05,10134.557598388674
2,2016-01-06,10093.607986724855
3,2016-01-07,10106.591003692629
4,2016-01-08,9963.47663143921
5,2016-01-11,10019.23581341553
6,2016-01-12,9981.106773651125
7,2016-01-13,9767.467014587404
8,2016-01-14,9943.701595581057
9,2016-01-15,9766.885792053225
10,2016-01-19,9810.900863922121
11,2016-01-20,9618.149383819582
12,2016-01-21,9733.01717404175
13,2016-01-22,9859.389137542727
14,2016-01-25,9860.354793823244
15,2016-01-26,10135.934997833254
16,2016-01-27,10155.290783203127
17,2016-01-28,10236.87527874756
18,2016-01-29,10537.175648010256
19,2016-02-01,10563.387382781984
20,2016-02-02,10479.441719329836
21,2016-02-03,10578.15241268921
22,2016-02-04,10622.069008148195
23,2016-02-05,10672.647354400637
24,2016-02-08,10676.58060864258
25,2016-02-09,10609.913788116457
26,2016-02-10,10568.634018218996
27,2016-02-11,10471.160778320314
28,2016-02-12,10651.244510925295
29,2016-02-16,10679.112907684328
30,2016-02-17,10733.500011718752
31,2016-02-18,10567.664394653322
32,2016-02-19,10602.87755230713
33,2016-02-22,10727.207847869875
34,2016-02-23,10749.758545196535
35,2016-02-24,10838.099899566652
36,2016-02-25,10973.691692626955
37,2016-02-26,10819.558758056643
38,2016-02-29,10761.18399838257
39,2016-03-01,10859.504287994387
40,2016-03-02,10832.713062561037
41,2016-03-03,10827.859924591066
42,2016-03-04,10905.508323944094
43,2016-03-07,11017.776802337648
44,2016-03-08,11016.590683258059
45,2016-03-09,11012.731312072756
46,2016-03-10,10995.948440826418
47,2016-03-11,11039.989448822023
48,2016-03-14,11054.137157714846
49,2016-03-15,11135.792457855227
50,2016-03-16,11143.848182952883
51,2016-03-17,11126.540481842043
52,2016-03-18,11133.244472778322
53,2016-03-21,11205.886604583742
54,2016-03-22,11199.091514862062
55,2016-03-23,11141.877521789553
56,2016-03-24,11195.824249542238
57,2016-03-28,11264.225086486818
58,2016-03-29,11197.478122985842
59,2016-03-30,11339.309803283693
60,2016-03-31,11308.674083984377
61,2016-04-01,11386.918888366701
62,2016-04-04,11353.60540036011
63,2016-04-05,11294.564819610598
64,2016-04-06,11360.926796234133
65,2016-04-07,11300.320896423342
66,2016-04-08,11270.237949645998
67,2016-04-11,11212.028560913088
68,2016-04-12,11379.727615631105
69,2016-04-13,11429.66439846802
70,2016-04-14,11385.627460754396
71,2016-04-15,11428.037147796633
72,2016-04-18,11521.56339291382
73,2016-04-19,11518.222667968752
74,2016-04-20,11445.143036163332
75,2016-04-21,11371.71121624756
76,2016-04-22,11393.649963653566
77,2016-04-25,11448.194175994875
78,2016-04-26,11364.171413696291
79,2016-04-27,11425.708015716555
80,2016-04-28,11356.826202667238
81,2016-04-29,11193.370533264162
82,2016-05-02,11286.130127227785
83,2016-05-03,11222.232063568117
84,2016-05-04,11211.196872985842
85,2016-05-05,11231.18138912964
86,2016-05-06,11357.014770782473
87,2016-05-09,11403.327911651613
88,2016-05-10,11446.706451690676
89,2016-05-11,11267.777813232424
90,2016-05-12,11317.71192959595
91,2016-05-13,11092.141647613527
92,2016-05-16,11225.655185974123
93,2016-05-17,11090.138363159182
94,2016-05-18,10924.260341918947
95,2016-05-19,11393.168251312258
96,2016-05-20,11447.282669342043
97,2016-05-23,11451.726303375246
98,2016-05-24,11597.453266418459
99,2016-05-25,11663.028354919436
100,2016-05-26,11660.393036163332
101,2016-05-27,11651.04995755005
102,2016-05-31,11635.719036376955
103,2016-06-01,11623.155090606691
104,2016-06-02,11642.510818756105
105,2016-06-03,11647.877556121828
106,2016-06-06,11719.305542266848
107,2016-06-07,11744.42064694214
108,2016-06-08,11783.680015838625
109,2016-06-09,11725.29199246216
110,2016-06-10,11678.621494567873
111,2016-06-13,11578.87064770508
112,2016-06-14,11630.293888366701
113,2016-06-15,11651.270809448244
114,2016-06-16,11735.23247937012
115,2016-06-17,11673.55150631714
116,2016-06-20,11760.422340667727
117,2016-06-21,11796.298664367678
118,2016-06-22,11816.705337799074
119,2016-06-23,11940.896518981936
120,2016-06-24,11763.834369934084
121,2016-06-27,11660.682693756105
122,2016-06-28,11739.62950543213
123,2016-06-29,11885.418827331545
124,2016-06-30,12051.230629241945
125,2016-07-01,12046.823086059572
126,2016-07-05,12076.863792694094
127,2016-07-06,12121.042015350344
128,2016-07-07,12086.64542416382
129,2016-07-08,12187.695957458498
130,2016-07-11,12235.769047058107
131,2016-07-12,12205.72444180298
132,2016-07-13,12237.714622772219
133,2016-07-14,12299.016216552736
134,2016-07-15,12312.89820126343
135,2016-07-18,12318.266151702883
136,2016-07-19,12306.749656951906
137,2016-07-20,12323.650142944338
138,2016-07-21,12263.320308959963
139,2016-07-22,12271.461883819582
140,2016-07-25,12262.098865783693
141,2016-07-26,12200.142654693605
142,2016-07-27,12184.060871398928
143,2016-07-28,12167.052238739016
144,2016-07-29,12155.651802337648
145,2016-08-01,12222.844509399416
146,2016-08-02,12168.182232177736
147,2016-08-03,12153.087925231936
148,2016-08-04,12165.74789456177
149,2016-08-05,12230.605404174807
150,2016-08-08,12195.200645721437
151,2016-08-09,12205.978992736818
152,2016-08-10,12299.171577728273
153,2016-08-11,12356.450996673586
154,2016-08-12,12340.96863964844
155,2016-08-15,12301.598686492922
156,2016-08-16,12221.910312927248
157,2016-08-17,12281.405811584475
158,2016-08-18,12377.996147430422
159,2016-08-19,12261.968906677248
160,2016-08-22,12234.619858062746
161,2016-08-23,12193.854370391848
162,2016-08-24,12204.247505462648
163,2016-08-25,12121.121269500734
164,2016-08-26,12108.233001983644
165,2016-08-29,12166.584839141848
166,2016-08-30,12146.69760159302
167,2016-08-31,12128.450748718264
168,2016-09-01,12274.059067047121
169,2016-09-02,12271.545440948488
170,2016-09-06,12304.368114746096
171,2016-09-07,12200.6570322876
172,2016-09-08,12191.689651763918
173,2016-09-09,11911.060108459475
174,2016-09-12,12135.181350982668
175,2016-09-13,12026.024124420168
176,2016-09-14,12017.291843688967
177,2016-09-15,12126.420505798342
178,2016-09-16,12118.028038299562
179,2016-09-19,12103.205723083498
180,2016-09-20,12121.11432675171
181,2016-09-21,12206.047561920168
182,2016-09-22,12221.774837768557
183,2016-09-23,12148.469139373781
184,2016-09-26,12037.730377471926
185,2016-09-27,12111.862690246584
186,2016-09-28,12108.994732177736
187,2016-09-29,11945.561485565187
188,2016-09-30,12095.957947052004
189,2016-10-03,12047.38468197632
190,2016-10-04,11915.66979626465
191,2016-10-05,11933.117794311525
192,2016-10-06,11707.049377716066
193,2016-10-07,11638.76205471802
194,2016-10-10,11569.558784759523
195,2016-10-11,11470.234970367434
196,2016-10-12,11477.920837677004
197,2016-10-13,11554.301277435305
198,2016-10-14,11584.008018768312
199,2016-10-17,11559.68539456177
200,2016-10-18,11608.312420166018
201,2016-10-19,11609.481666839602
202,2016-10-20,11593.300342834475
203,2016-10-21,11547.555744445803
204,2016-10-24,11678.851013458254
205,2016-10-25,11530.078838623049
206,2016-10-26,11558.808052337648
207,2016-10-27,11554.413070953371
208,2016-10-28,11569.5250552063
209,2016-10-31,11556.791343963625
210,2016-11-01,11458.845123565676
211,2016-11-02,11518.60944393921
212,2016-11-03,11569.874588287355
213,2016-11-04,11518.162670410158
214,2016-11-07,11679.128387725832
215,2016-11-08,11722.66936520386
216,2016-11-09,11821.445614135744
217,2016-11-10,11972.891628540041
218,2016-11-11,11984.386474884035
219,2016-11-14,11850.961777008059
220,2016-11-15,11975.451519287111
221,2016-11-16,11935.468605316164
222,2016-11-17,11767.395092285158
223,2016-11-18,11716.255375183107
224,2016-11-21,11742.88731793213
225,2016-11-22,11821.638576782228
226,2016-11-23,11896.611713684084
227,2016-11-25,11971.753784454348
228,2016-11-28,11935.5798838501
229,2016-11-29,11959.127788818361
230,2016-11-30,11844.286052978518
231,2016-12-01,11894.521263397219
232,2016-12-02,11905.60347393799
233,2016-12-05,11796.891525543215
234,2016-12-06,11840.011753356936
235,2016-12-07,12045.211773193361
236,2016-12-08,12015.694298065187
237,2016-12-09,12077.630779541018
238,2016-12-12,12254.289100921633
239,2016-12-13,12240.14352825928
240,2016-12-14,12125.042225158693
241,2016-12-15,12084.311294830324
242,2016-12-16,12120.383732116701
243,2016-12-19,12196.221580780031
244,2016-12-20,12234.57449749756
245,2016-12-21,12175.921951568605
246,2016-12-22,12055.997024810793
247,2016-12-23,12037.22354916382
248,2016-12-27,12057.006981170656
249,2016-12-28,11994.12350872803
250,2016-12-29,12000.710891998293
251,2016-12-30,11993.008373535158
252,2017-01-03,11937.02140072632
253,2017-01-04,11980.47940853882
254,2017-01-05,11973.501598632814
255,2017-01-06,11906.828548706057
256,2017-01-09,11914.386783874514
257,2017-01-10,11850.804901397707
258,2017-01-11,11920.349342620852
259,2017-01-12,11855.875084198
260,2017-01-13,11780.732605255129
261,2017-01-17,11889.482746398928
262,2017-01-18,11902.594822204592
263,2017-01-19,11865.578712738039
264,2017-01-20,11821.88302258301
265,2017-01-23,11775.905559814455
266,2017-01-24,11761.422966278078
267,2017-01-25,11742.99768475342
268,2017-01-26,11730.806160247805
269,2017-01-27,11659.301929748537
270,2017-01-30,11657.45015362549
271,2017-01-31,11665.338005340578
272,2017-02-01,11631.11291912842
273,2017-02-02,11639.338039672853
274,2017-02-03,11649.322845733644
275,2017-02-06,11642.14068249512
276,2017-02-07,11707.276588714602
277,2017-02-08,11830.413292205812
278,2017-02-09,11978.358139312746
279,2017-02-10,11913.16455105591
280,2017-02-13,11958.543663299562
281,2017-02-14,12055.20287350464
282,2017-02-15,12100.15304211426
283,2017-02-16,12171.74473980713
284,2017-02-17,12201.23717907715
285,2017-02-21,12397.425556457521
286,2017-02-22,12507.603691375734
287,2017-02-23,12507.743320739748
288,2017-02-24,12609.945339477541
289,2017-02-27,12538.039749420168
290,2017-02-28,12448.102905548098
291,2017-03-01,12522.18840817261
292,2017-03-02,12547.106197631838
293,2017-03-03,12464.630459106447
294,2017-03-06,12438.276695526125
295,2017-03-07,12443.67110852051
296,2017-03-08,12494.071132934572
297,2017-03-09,12510.582802093508
298,2017-03-10,12575.57621411133
299,2017-03-13,12572.770733154299
300,2017-03-14,12601.455593383791
301,2017-03-15,12618.829593933107
302,2017-03-16,12577.059860504152
303,2017-03-17,12595.08719281006
304,2017-03-20,12626.50195339966
305,2017-03-21,12588.443840301516
306,2017-03-22,12622.291122711184
307,2017-03-23,12584.789749420168
308,2017-03-24,12541.977054870607
309,2017-03-27,12510.79182461548
310,2017-03-28,12588.846733367922
311,2017-03-29,12615.85839871216
312,2017-03-30,12711.193180358889
313,2017-03-31,12755.719528472902
314,2017-04-03,12713.227566040041
315,2017-04-04,12713.679741180422
316,2017-04-05,12683.419395721437
317,2017-04-06,12653.929878509523
318,2017-04-07,12787.127571380617
319,2017-04-10,12793.606174743654
320,2017-04-11,12838.071968353273
321,2017-04-12,12825.216934478762
322,2017-04-13,12763.652282989504
323,2017-04-17,12850.675518310549
324,2017-04-18,12882.091480529787
325,2017-04-19,12884.333282745363
326,2017-04-20,12993.963508880617
327,2017-04-21,13017.150440490725
328,2017-04-24,13094.345051086428
329,2017-04-25,13153.996830261232
330,2017-04-26,13183.732933319094
331,2017-04-27,13218.952713287355
332,2017-04-28,13186.537533081057
333,2017-05-01,13157.523170745852
334,2017-05-02,13239.056354797365
335,2017-05-03,13296.17491558838
336,2017-05-04,13407.338382995607
337,2017-05-05,13418.16212490845
338,2017-05-08,13359.955395019533
339,2017-05-09,13390.227279937746
340,2017-05-10,13391.825382507326
341,2017-05-11,13345.195461547853
342,2017-05-12,13301.560913360598
343,2017-05-15,13389.451080596926
344,2017-05-16,13293.368606842043
345,2017-05-17,13230.248276031496
346,2017-05-18,13459.181625640871
347,2017-05-19,13589.234157836916
348,2017-05-22,13658.668045318605
349,2017-05-23,13629.031330383303
350,2017-05-24,13591.624603546144
351,2017-05-25,13674.400985992434
352,2017-05-26,13695.964317596437
353,2017-05-30,13755.713791168215
354,2017-05-31,13862.471096313478
355,2017-06-01,13966.90406063843
356,2017-06-02,14027.425911224367
357,2017-06-05,14068.191456115725
358,2017-06-06,13922.419285095217
359,2017-06-07,13927.641598022463
360,2017-06-08,13939.516079223635
361,2017-06-09,14016.643238342287
362,2017-06-12,14015.823391235353
363,2017-06-13,14097.036255157473
364,2017-06-14,14159.797226226809
365,2017-06-15,14114.914150512697
366,2017-06-16,13852.658729827883
367,2017-06-19,13879.751388824465
368,2017-06-20,13883.122951782228
369,2017-06-21,13925.77497128296
370,2017-06-22,13840.746933258059
371,2017-06-23,13802.791179931643
372,2017-06-26,13852.409324920656
373,2017-06-27,13804.426113403322
374,2017-06-28,13878.964622772219
375,2017-06-29,13735.227844512941
376,2017-06-30,13725.658912933352
377,2017-07-03,13750.45203808594
378,2017-07-05,13745.08139065552
379,2017-07-06,13700.171299255373
380,2017-07-07,13739.553791320803
381,2017-07-10,13582.57134655762
382,2017-07-11,13577.037018096926
383,2017-07-12,13673.544300354006
384,2017-07-13,13765.170421875002
385,2017-07-14,13903.00507763672
386,2017-07-17,13902.82943753052
387,2017-07-18,13874.622276580812
388,2017-07-19,13871.921570098879
389,2017-07-20,13896.321823394777
390,2017-07-21,13865.120765960695
391,2017-07-24,13894.2615244751
392,2017-07-25,13697.21322659302
393,2017-07-26,13718.825123107912
394,2017-07-27,13831.833534515383
395,2017-07-28,13823.354698455812
396,2017-07-31,13886.729965484621
397,2017-08-01,13997.341408050539
398,2017-08-02,14073.10761669922
399,2017-08-03,14176.437618530275
400,2017-08-04,14143.178283966066
401,2017-08-07,14208.064541137697
402,2017-08-08,14202.273819244387
403,2017-08-09,14251.413753784182
404,2017-08-10,14157.041134155275
405,2017-08-11,14125.121868408205
406,2017-08-14,14198.579426086428
407,2017-08-15,14198.894390380861
408,2017-08-16,14242.443802154543
409,2017-08-17,14042.08733395386
410,2017-08-18,13947.867672241213
411,2017-08-21,14016.978821075441
412,2017-08-22,14076.512977874758
413,2017-08-23,14016.847229278566
414,2017-08-24,13853.212372100832
415,2017-08-25,13880.18811444092
416,2017-08-28,13836.870445526125
417,2017-08-29,13919.305698669436
418,2017-08-30,13925.357628143312
419,2017-08-31,13904.050541198732
420,2017-09-01,13906.753151214602
421,2017-09-05,13950.06646374512
422,2017-09-06,14009.416935241701
423,2017-09-07,14093.50090817261
424,2017-09-08,14022.872074401857
425,2017-09-11,14169.65391949463
426,2017-09-12,14221.80810574341
427,2017-09-13,14238.29292706299
428,2017-09-14,14286.584312713625
429,2017-09-15,14413.611274993898
430,2017-09-18,14395.100197113039
431,2017-09-19,14393.66194180298
432,2017-09-20,14333.299839294436
433,2017-09-21,14286.644928253176
434,2017-09-22,14253.8916857605
435,2017-09-25,14218.865318573
436,2017-09-26,14250.372410095217
437,2017-09-27,14189.472080505373
438,2017-09-28,14162.101272857668
439,2017-09-29,14100.58924511719
440,2017-10-02,14222.656204498293
441,2017-10-03,14352.517727172853
442,2017-10-04,14406.532947814943
443,2017-10-05,14430.025848663332
444,2017-10-06,14398.612526214602
445,2017-10-09,14541.104416168215
446,2017-10-10,14868.02823666382
447,2017-10-11,15004.251476562502
448,2017-10-12,15074.314880645754
449,2017-10-13,15125.954139984133
450,2017-10-16,15080.999988830568
451,2017-10-17,15069.63748577881
452,2017-10-18,15108.889004028322
453,2017-10-19,15157.445221221926
454,2017-10-20,15319.784729278566
455,2017-10-23,15436.205631530764
456,2017-10-24,15814.064194000246
457,2017-10-25,15957.639065063478
458,2017-10-26,15813.969860351564
459,2017-10-27,15833.619961059572
460,2017-10-30,15600.012996948244
461,2017-10-31,15604.42514065552
462,2017-11-01,15660.919117248537
463,2017-11-02,15805.993934906008
464,2017-11-03,15884.858581817629
465,2017-11-06,15734.377994812014
466,2017-11-07,15749.573742187502
467,2017-11-08,15858.766998565676
468,2017-11-09,15813.176761901857
469,2017-11-10,15839.032474792482
470,2017-11-13,15870.926071441652
471,2017-11-14,15918.005436218264
472,2017-11-15,15737.716610229494
473,2017-11-16,16684.80788449097
474,2017-11-17,16488.96792630005
475,2017-11-20,16560.645622528078
476,2017-11-21,16561.16872052002
477,2017-11-22,16507.410042083742
478,2017-11-24,16519.119453704836
479,2017-11-27,16605.883228576662
480,2017-11-28,16674.92640713501
481,2017-11-29,16823.709804809572
482,2017-11-30,16967.496380126955
483,2017-12-01,16912.732597625734
484,2017-12-04,16819.71360043335
485,2017-12-05,16858.97825268555
486,2017-12-06,16823.5496104126
487,2017-12-07,16880.18111065674
488,2017-12-08,16787.885902679445
489,2017-12-11,16860.925133026125
490,2017-12-12,16749.597954071047
491,2017-12-13,16934.139026916506
492,2017-12-14,16841.253288543703
493,2017-12-15,16837.2814753418
494,2017-12-18,16924.94249371338
495,2017-12-19,17006.305450714113
496,2017-12-20,16954.3766177063
497,2017-12-21,16822.557609832766
498,2017-12-22,16835.388695037844
499,2017-12-26,16945.768688476564
500,2017-12-27,16980.71010235596
501,2017-12-28,16978.022762573244
502,2017-12-29,16907.16960171509
503,2018-01-02,16900.939155853273
504,2018-01-03,16978.327308929445
505,2018-01-04,17091.0299380188
506,2018-01-05,17208.142044342043
507,2018-01-08,17319.267166412355
508,2018-01-09,17259.16332272339
509,2018-01-10,17188.93750027466
510,2018-01-11,17262.193378723146
511,2018-01-12,17411.589420593264
512,2018-01-16,17403.767154968264
513,2018-01-17,17696.46132687378
514,2018-01-18,17768.168899810793
515,2018-01-19,17871.927822387697
516,2018-01-22,17920.92776516724
517,2018-01-23,17927.474293029787
518,2018-01-24,17962.698295867922
519,2018-01-25,18191.6190836792
520,2018-01-26,18559.70078305054
521,2018-01-29,18572.85329464722
522,2018-01-30,18261.130878723146
