time/time_elapsed,time/fps,time/total_timesteps,train/n_updates,train/critic_loss,train/reward,time/episodes,train/learning_rate,train/actor_loss
112,53,6040,4530,0.006520497642722696,-0.010495446,4,0.001,0.5211452575314124
234,51,12080,10570,0.0015195604281142256,-0.010495446,8,0.001,0.3482332898390214
