train/critic_loss,time/time_elapsed,train/n_updates,train/learning_rate,train/actor_loss,time/episodes,time/total_timesteps,time/fps,train/reward
0.02203181092719862,100,4530,0.001,-8.361512392561957,4,6040,60,-0.0289441
0.00870840225865238,225,10570,0.001,-5.8043616345386635,8,12080,53,-0.0289441
0.004143490108649018,351,16610,0.001,-4.032047526410084,12,18120,51,-0.0289441
0.002913559841405329,468,22650,0.001,-2.8734446707150796,16,24160,51,-0.0289441
0.0025633150458201728,586,28690,0.001,-2.0683738961125053,20,30200,51,-0.0289441
0.0018076182296037032,704,34730,0.001,-1.5090694746434294,24,36240,51,-0.0289441
0.0006683523447903502,834,40770,0.001,-1.1109995960005072,28,42280,50,-0.0289441
0.0004670198496900628,954,46810,0.001,-0.8248262968284404,32,48320,50,-0.0289441
