Date,Capital
2016-01-04,10000.0
2016-01-05,10028.663220744862
2016-01-06,9894.722539036262
2016-01-07,9678.302874559462
2016-01-08,9586.962339673732
2016-01-11,9616.270000089018
2016-01-12,9694.817944055054
2016-01-13,9495.982053869877
2016-01-14,9656.113544457017
2016-01-15,9460.932794300743
2016-01-19,9491.772078304846
2016-01-20,9360.690565077084
2016-01-21,9424.66913733419
2016-01-22,9563.47206416433
2016-01-25,9463.682867071655
2016-01-26,9618.818184525398
2016-01-27,9502.289236841456
2016-01-28,9566.558146718015
2016-01-29,9827.68814698192
2016-02-01,9828.564701300835
2016-02-02,9644.837716854483
2016-02-03,9724.930160359785
2016-02-04,9739.567127858005
2016-02-05,9592.841678633116
2016-02-08,9493.006889448727
2016-02-09,9503.923326385771
2016-02-10,9479.33925763727
2016-02-11,9363.085853943434
2016-02-12,9544.792227335973
2016-02-16,9660.87021816445
2016-02-17,9817.06991722909
2016-02-18,9782.880042512536
2016-02-19,9780.55850562415
2016-02-22,9879.301950622481
2016-02-23,9765.795252131646
2016-02-24,9789.430672012692
2016-02-25,9888.056484371004
2016-02-26,9826.176520731431
2016-02-29,9742.330021892196
2016-03-01,9989.765989262789
2016-03-02,10010.111627167382
2016-03-03,10022.461028953663
2016-03-04,10046.622498563676
2016-03-07,10071.630986994967
2016-03-08,10037.47568552143
2016-03-09,10094.891204526186
2016-03-10,10099.491383316521
2016-03-11,10214.348501021008
2016-03-14,10216.972946161353
2016-03-15,10238.63291224708
2016-03-16,10292.333217787422
2016-03-17,10386.857200099563
2016-03-18,10446.996534960348
2016-03-21,10477.199894916323
2016-03-22,10470.848470271127
2016-03-23,10401.11002243295
2016-03-24,10410.732829062646
2016-03-28,10415.85351414431
2016-03-29,10479.90999248426
2016-03-30,10527.671013753314
2016-03-31,10522.10452093721
2016-04-01,10611.475181479414
2016-04-04,10580.596423741456
2016-04-05,10490.009900205578
2016-04-06,10584.834536186567
2016-04-07,10478.95788470958
2016-04-08,10500.529575874334
2016-04-11,10464.230120483106
2016-04-12,10555.175108722342
2016-04-13,10641.467748804336
2016-04-14,10646.342618680144
2016-04-15,10641.414710601312
2016-04-18,10710.003046592368
2016-04-19,10749.520842229189
2016-04-20,10729.694319945262
2016-04-21,10638.089617923302
2016-04-22,10631.748679934442
2016-04-25,10621.638919160705
2016-04-26,10634.237059766829
2016-04-27,10662.15097591193
2016-04-28,10552.946327869458
2016-04-29,10500.638004584871
2016-05-02,10581.681992217951
2016-05-03,10511.308724014023
2016-05-04,10456.966517038585
2016-05-05,10465.101553244876
2016-05-06,10487.896325456562
2016-05-09,10489.865029812836
2016-05-10,10607.643736387397
2016-05-11,10478.380131223612
2016-05-12,10492.310820155852
2016-05-13,10392.597437057477
2016-05-16,10484.128300725833
2016-05-17,10354.247973949876
2016-05-18,10344.816864446893
2016-05-19,10304.231607037105
2016-05-20,10345.94321061033
2016-05-23,10322.179712070169
2016-05-24,10460.494381082104
2016-05-25,10539.215556494944
2016-05-26,10530.071611144343
2016-05-27,10559.983969529621
2016-05-31,10522.657459519833
2016-06-01,10528.727677078103
2016-06-02,10560.781847632597
2016-06-03,10551.206984708402
2016-06-06,10612.66002974694
2016-06-07,10632.634311418344
2016-06-08,10668.12800636761
2016-06-09,10678.5659090888
2016-06-10,10648.788712684127
2016-06-13,10576.485928204258
2016-06-14,10562.530490637604
2016-06-15,10532.759915244935
2016-06-16,10576.8944743755
2016-06-17,10541.797386356555
2016-06-20,10613.804431326482
2016-06-21,10632.3852240784
2016-06-22,10598.78585248041
2016-06-23,10735.321882148508
2016-06-24,10398.110137933294
2016-06-27,10263.7068257539
2016-06-28,10436.249463582439
2016-06-29,10607.486860809237
2016-06-30,10732.951768244186
2016-07-01,10746.987573585897
2016-07-05,10710.387317027664
2016-07-06,10744.685836705985
2016-07-07,10709.833953734087
2016-07-08,10870.536301592247
2016-07-11,10905.666915207652
2016-07-12,10957.373966849067
2016-07-13,10964.12508416174
2016-07-14,11039.710063897044
2016-07-15,11035.197782703897
2016-07-18,11029.295886324511
2016-07-19,11037.232644942078
2016-07-20,11061.978357963702
2016-07-21,11009.983524496229
2016-07-22,11039.292442225169
2016-07-25,11003.944399488517
2016-07-26,10978.581869778764
2016-07-27,10951.15583166049
2016-07-28,10946.73167803705
2016-07-29,10943.79848478001
2016-08-01,10927.075654060978
2016-08-02,10888.66697509616
2016-08-03,10920.919665812076
2016-08-04,10918.991186460982
2016-08-05,11028.26380196939
2016-08-08,11013.94499112285
2016-08-09,11017.590459018118
2016-08-10,11007.910819703206
2016-08-11,11078.498130019689
2016-08-12,11073.353899200209
2016-08-15,11114.454592704225
2016-08-16,11053.53072521722
2016-08-17,11063.694718655428
2016-08-18,11077.223832364569
2016-08-19,11057.17062497316
2016-08-22,11049.692373483545
2016-08-23,11062.053883977711
2016-08-24,11026.03904571487
2016-08-25,11006.999752276406
2016-08-26,10976.042168729176
2016-08-29,11033.34326235041
2016-08-30,11001.34260241166
2016-08-31,10977.835284337787
2016-09-01,10993.983651026863
2016-09-02,11033.956872958437
2016-09-06,11069.182414690069
2016-09-07,11063.57059142373
2016-09-08,11036.21777769378
2016-09-09,10794.551194570646
2016-09-12,10955.254094513311
2016-09-13,10799.90231768158
2016-09-14,10785.664197943726
2016-09-15,10889.68976399454
2016-09-16,10851.058107624554
2016-09-19,10837.677633844032
2016-09-20,10855.752439211587
2016-09-21,10946.957333590546
2016-09-22,11023.48278669873
2016-09-23,10942.370618405897
2016-09-26,10837.70412150878
2016-09-27,10902.151609874496
2016-09-28,10935.443815466633
2016-09-29,10817.629891757306
2016-09-30,10915.52135781919
2016-10-03,10877.490540982755
2016-10-04,10832.226539176896
2016-10-05,10867.29139400014
2016-10-06,10861.161518193741
2016-10-07,10820.048977723822
2016-10-10,10868.730120797278
2016-10-11,10744.162220413633
2016-10-12,10765.085694527232
2016-10-13,10741.642321451325
2016-10-14,10754.820440343841
2016-10-17,10729.967036711854
2016-10-18,10760.754328643683
2016-10-19,10770.75365581412
2016-10-20,10729.98348053663
2016-10-21,10716.931976256716
2016-10-24,10774.608115098834
2016-10-25,10736.180367461508
2016-10-26,10767.921372260556
2016-10-27,10743.318577564442
2016-10-28,10715.122493584378
2016-10-31,10697.677771146004
2016-11-01,10637.833140326191
2016-11-02,10580.84980508649
2016-11-03,10551.360656526078
2016-11-04,10514.84897896572
2016-11-07,10722.141308967055
2016-11-08,10765.044718832904
2016-11-09,10880.598787943185
2016-11-10,10924.605164105755
2016-11-11,10938.937800195528
2016-11-14,10929.914839679968
2016-11-15,10980.296688975252
2016-11-16,10965.679123179423
2016-11-17,10979.118195781692
2016-11-18,10951.164001341764
2016-11-21,11001.081216816203
