Date,Capital
2016-01-04,10000.0
2016-01-05,10006.115529974604
2016-01-06,9874.075945366434
2016-01-07,9676.971146488635
2016-01-08,9582.839175690167
2016-01-11,9596.457246921305
2016-01-12,9684.71753658431
2016-01-13,9485.84126103607
2016-01-14,9634.731558961515
2016-01-15,9401.867002845871
2016-01-19,9443.589184755374
2016-01-20,9329.720626397713
2016-01-21,9372.82712566893
2016-01-22,9481.684454840422
2016-01-25,9367.873654206305
2016-01-26,9544.366006788623
2016-01-27,9411.654592787643
2016-01-28,9469.687037245116
2016-01-29,9720.399588322807
2016-02-01,9723.461676614947
2016-02-02,9529.549802830012
2016-02-03,9654.300386357896
2016-02-04,9659.556351572275
2016-02-05,9465.35107704559
2016-02-08,9376.017114674856
2016-02-09,9378.549690789208
2016-02-10,9344.97409821841
2016-02-11,9206.093195770383
2016-02-12,9383.280197548966
2016-02-16,9503.690097303856
2016-02-17,9674.465273278582
2016-02-18,9642.444492529581
2016-02-19,9646.400158608469
2016-02-22,9759.301970649125
2016-02-23,9655.465654844647
2016-02-24,9671.878490814397
2016-02-25,9776.235859875289
2016-02-26,9735.089309164532
2016-02-29,9657.869057417636
2016-03-01,9886.251232757575
2016-03-02,9891.118794312364
2016-03-03,9914.73532885526
2016-03-04,9942.894702897478
2016-03-07,9965.16984625434
2016-03-08,9917.28144013181
2016-03-09,9939.405204622497
2016-03-10,9947.429739806234
2016-03-11,10063.333460459724
2016-03-14,10080.600503649071
2016-03-15,10087.38662960277
2016-03-16,10141.726014948135
2016-03-17,10245.145250976724
2016-03-18,10318.426231061932
2016-03-21,10345.946140579557
2016-03-22,10322.614924695516
2016-03-23,10246.399512592909
2016-03-24,10255.919664297791
2016-03-28,10252.204950735706
2016-03-29,10310.780737230998
2016-03-30,10350.560424065985
2016-03-31,10343.85739745553
2016-04-01,10427.31109579841
2016-04-04,10378.713896016867
2016-04-05,10286.183590118679
2016-04-06,10383.501449944677
2016-04-07,10280.576315449785
2016-04-08,10304.724699056731
2016-04-11,10270.437366398131
2016-04-12,10370.678562221285
2016-04-13,10473.376297461147
2016-04-14,10472.614416996728
2016-04-15,10466.473661995647
2016-04-18,10538.911537082684
2016-04-19,10587.217540325533
2016-04-20,10565.123226424479
2016-04-21,10515.70285907995
2016-04-22,10503.390887898522
2016-04-25,10494.402646493598
2016-04-26,10516.110094108384
2016-04-27,10547.54413306835
2016-04-28,10436.706686143929
2016-04-29,10398.85832667324
2016-05-02,10471.480791487573
2016-05-03,10388.606817494609
2016-05-04,10331.652990057542
2016-05-05,10328.359717493604
2016-05-06,10358.73885387041
2016-05-09,10357.725804960548
2016-05-10,10471.683912705272
2016-05-11,10343.661740589705
2016-05-12,10363.62174890446
2016-05-13,10253.203303973214
2016-05-16,10338.589560979279
2016-05-17,10204.083747987923
2016-05-18,10185.422106791972
2016-05-19,10150.339282252355
2016-05-20,10180.401355508655
2016-05-23,10159.890491329768
2016-05-24,10284.777520785807
2016-05-25,10364.91884916563
2016-05-26,10355.938496399152
2016-05-27,10388.411697005766
2016-05-31,10341.254811234721
2016-06-01,10345.851461705037
2016-06-02,10376.193847012522
2016-06-03,10359.632208262472
2016-06-06,10444.04781736899
2016-06-07,10448.907314769047
2016-06-08,10490.212433213786
2016-06-09,10484.338518041714
2016-06-10,10441.70197062647
2016-06-13,10356.20350116635
2016-06-14,10298.840270882652
2016-06-15,10275.782954378554
2016-06-16,10303.997856685986
2016-06-17,10263.844732886979
2016-06-20,10340.73006750354
2016-06-21,10350.07601756177
2016-06-22,10322.348159085857
2016-06-23,10451.915678784122
2016-06-24,10081.059146135196
2016-06-27,9911.061995822998
2016-06-28,10065.842666083849
2016-06-29,10256.618099047744
2016-06-30,10380.672634034883
2016-07-01,10390.49228387242
2016-07-05,10330.267676153273
2016-07-06,10365.699725278988
2016-07-07,10348.679275819375
2016-07-08,10519.339171904694
2016-07-11,10563.853889660357
2016-07-12,10622.81099878481
2016-07-13,10626.075213387867
2016-07-14,10701.8296472059
2016-07-15,10698.318948946455
2016-07-18,10698.415990217463
2016-07-19,10710.588537199057
2016-07-20,10740.467317953322
2016-07-21,10693.565816684946
2016-07-22,10720.183933504088
2016-07-25,10683.93363234407
2016-07-26,10668.527576081766
2016-07-27,10649.291941969022
2016-07-28,10644.261311422508
2016-07-29,10644.582508028698
2016-08-01,10631.29343174482
2016-08-02,10588.34294388655
2016-08-03,10611.043317631442
2016-08-04,10611.590435100445
2016-08-05,10726.97196952695
2016-08-08,10712.227665807157
2016-08-09,10712.840943749625
2016-08-10,10699.938593999317
2016-08-11,10769.012171828093
2016-08-12,10756.77603436688
2016-08-15,10784.333450569195
2016-08-16,10721.36639140186
2016-08-17,10731.649023942238
2016-08-18,10746.407204168476
2016-08-19,10731.160580748296
2016-08-22,10720.314440544327
2016-08-23,10735.53029284225
2016-08-24,10695.979962742966
2016-08-25,10685.158262830852
2016-08-26,10665.864615592025
2016-08-29,10726.52935888302
2016-08-30,10697.808861081696
2016-08-31,10678.289696663745
2016-09-01,10683.370903768826
2016-09-02,10717.281910952372
2016-09-06,10754.015801760077
