,date,account_value
0,2016-01-04,10000.0
1,2016-01-05,10132.445549930573
2,2016-01-06,10154.208943332673
3,2016-01-07,10189.273766483308
4,2016-01-08,10033.086293186188
5,2016-01-11,10096.540787662507
6,2016-01-12,10110.597115482331
7,2016-01-13,9905.056717838288
8,2016-01-14,10017.887680973054
9,2016-01-15,9850.220810855866
10,2016-01-19,9936.147847141267
11,2016-01-20,9737.018654788972
12,2016-01-21,9811.928460086823
13,2016-01-22,9970.939785923005
14,2016-01-25,10014.051754917145
15,2016-01-26,10054.775238956452
16,2016-01-27,10006.90801330948
17,2016-01-28,10035.649071659089
18,2016-01-29,10289.614121402741
19,2016-02-01,10399.650734867097
20,2016-02-02,10229.63598343277
21,2016-02-03,10216.259934391022
22,2016-02-04,10248.410904850007
23,2016-02-05,10133.517197574616
24,2016-02-08,10061.152886356354
25,2016-02-09,10077.35458084488
26,2016-02-10,10042.592419589997
27,2016-02-11,10003.531849826813
28,2016-02-12,10140.29813476944
29,2016-02-16,10137.756302799226
30,2016-02-17,10234.690419162751
31,2016-02-18,10041.711312259675
32,2016-02-19,10108.47045608902
33,2016-02-22,10237.89474579239
34,2016-02-23,10270.780297245026
35,2016-02-24,10336.135823215485
36,2016-02-25,10558.930130924226
37,2016-02-26,10353.607014621735
38,2016-02-29,10302.473320926667
39,2016-03-01,10398.343232120515
40,2016-03-02,10390.715439762116
41,2016-03-03,10406.180817569733
42,2016-03-04,10477.16901871109
43,2016-03-07,10554.502434696198
44,2016-03-08,10579.33171554947
45,2016-03-09,10639.576947177888
46,2016-03-10,10655.565873111726
47,2016-03-11,10677.578713382722
48,2016-03-14,10711.390694583893
49,2016-03-15,10760.88701721573
50,2016-03-16,10756.207261051179
51,2016-03-17,10766.687207187653
52,2016-03-18,10709.215596164704
53,2016-03-21,10795.131329502106
54,2016-03-22,10784.081109012604
55,2016-03-23,10725.665883029938
56,2016-03-24,10793.688546146393
57,2016-03-28,10812.424038852692
58,2016-03-29,10864.80961700821
59,2016-03-30,10975.542225803376
60,2016-03-31,10925.450936283112
61,2016-04-01,11043.70495697403
62,2016-04-04,11050.691693271638
63,2016-04-05,10961.886376346589
64,2016-04-06,11029.157994235993
65,2016-04-07,10925.693863834382
66,2016-04-08,10943.739651645661
67,2016-04-11,10840.54008575821
68,2016-04-12,10979.62093063736
69,2016-04-13,10992.921730960847
70,2016-04-14,10949.88675018692
71,2016-04-15,10995.849438632966
72,2016-04-18,11091.917096103669
73,2016-04-19,11094.856842960358
74,2016-04-20,10870.396985019685
75,2016-04-21,10768.665142978669
76,2016-04-22,10847.249848331452
77,2016-04-25,10925.872078861237
78,2016-04-26,10892.016198123933
79,2016-04-27,10905.095185245515
80,2016-04-28,10850.595677341462
81,2016-04-29,10695.140427555085
82,2016-05-02,10797.21087356949
83,2016-05-03,10692.28655716324
84,2016-05-04,10702.619088138581
85,2016-05-05,10707.03239914322
86,2016-05-06,10825.468678440095
87,2016-05-09,10886.071606601716
88,2016-05-10,10936.659413303376
89,2016-05-11,10747.916897739411
90,2016-05-12,10816.953022922517
91,2016-05-13,10621.93408676529
92,2016-05-16,10754.468136753083
93,2016-05-17,10595.975441898347
94,2016-05-18,10425.507367099763
95,2016-05-19,10996.949387516022
96,2016-05-20,11024.444428409577
97,2016-05-23,11007.526959384919
98,2016-05-24,11122.388413394929
99,2016-05-25,11159.467827762604
100,2016-05-26,11211.961903537751
101,2016-05-27,11217.968132938386
102,2016-05-31,11205.527382816315
103,2016-06-01,11184.194920505524
104,2016-06-02,11221.30269714737
105,2016-06-03,11227.209919895173
106,2016-06-06,11273.789090122224
107,2016-06-07,11273.649498905183
108,2016-06-08,11317.325650180817
109,2016-06-09,11306.214566196442
110,2016-06-10,11312.281544651032
111,2016-06-13,11211.709843601227
112,2016-06-14,11234.78548141861
113,2016-06-15,11262.860989536286
114,2016-06-16,11296.312359775544
115,2016-06-17,11204.321312870026
116,2016-06-20,11245.12162872696
117,2016-06-21,11295.57540985489
118,2016-06-22,11281.055539096833
119,2016-06-23,11359.52878662491
120,2016-06-24,11185.093693698884
121,2016-06-27,11089.585553134919
122,2016-06-28,11149.576935733796
123,2016-06-29,11279.4358873024
124,2016-06-30,11406.65544601822
125,2016-07-01,11379.51860138321
126,2016-07-05,11411.509007419587
127,2016-07-06,11455.363270725251
128,2016-07-07,11420.646149600983
129,2016-07-08,11509.702927555085
130,2016-07-11,11557.984440769196
131,2016-07-12,11495.408406223298
132,2016-07-13,11527.877076114655
133,2016-07-14,11535.00652023697
134,2016-07-15,11524.85852905655
135,2016-07-18,11543.88903900528
136,2016-07-19,11523.613476718903
137,2016-07-20,11540.363263095856
138,2016-07-21,11504.188782657624
139,2016-07-22,11552.434624637604
140,2016-07-25,11542.809384311677
141,2016-07-26,11478.755970920563
142,2016-07-27,11320.942017520905
143,2016-07-28,11348.38897034073
144,2016-07-29,11313.860386814118
145,2016-08-01,11356.11770721817
146,2016-08-02,11296.550042118073
147,2016-08-03,11287.334164585114
148,2016-08-04,11311.075142826081
149,2016-08-05,11362.835312808991
150,2016-08-08,11320.310002292634
151,2016-08-09,11340.105576480866
152,2016-08-10,11413.609173740388
153,2016-08-11,11434.093529666901
154,2016-08-12,11466.731942142487
155,2016-08-15,11385.342690433503
156,2016-08-16,11297.883309329987
157,2016-08-17,11289.460629428864
158,2016-08-18,11422.50583740616
159,2016-08-19,11288.437325443268
160,2016-08-22,11260.592938388825
161,2016-08-23,11219.986016239167
162,2016-08-24,11239.218152011872
163,2016-08-25,11179.231724704743
164,2016-08-26,11142.24435516739
165,2016-08-29,11180.784039463044
166,2016-08-30,11147.44546982193
167,2016-08-31,11166.327057804108
168,2016-09-01,11219.28490921402
169,2016-09-02,11199.998505558015
170,2016-09-06,11259.794629062653
171,2016-09-07,11158.305001224518
172,2016-09-08,11134.577130283356
173,2016-09-09,10879.87313553238
174,2016-09-12,11099.876313175202
175,2016-09-13,10989.176541294099
176,2016-09-14,10994.407326663972
177,2016-09-15,11094.798863376618
178,2016-09-16,11104.899903263093
179,2016-09-19,11028.654271091462
180,2016-09-20,11035.874871219636
181,2016-09-21,11093.554055179597
182,2016-09-22,11142.77817245865
183,2016-09-23,11056.064957584382
184,2016-09-26,10933.114029850007
185,2016-09-27,11036.42923065567
186,2016-09-28,10982.381680454255
187,2016-09-29,10872.486397708893
188,2016-09-30,11019.924443210602
189,2016-10-03,10972.614956821442
190,2016-10-04,10972.45707794571
191,2016-10-05,10887.679039920808
192,2016-10-06,10728.901356662751
193,2016-10-07,10666.548142398835
194,2016-10-10,10679.094208683015
195,2016-10-11,10563.447678531647
196,2016-10-12,10584.204197849274
197,2016-10-13,10620.772881473542
198,2016-10-14,10698.325272525788
199,2016-10-17,10646.78617950821
200,2016-10-18,10732.406800235749
201,2016-10-19,10741.3036317482
202,2016-10-20,10713.291932071686
203,2016-10-21,10720.591404880524
204,2016-10-24,10848.778038944245
205,2016-10-25,10861.831334079743
206,2016-10-26,10872.276364292145
207,2016-10-27,10863.59806534195
208,2016-10-28,10893.723092044831
209,2016-10-31,10910.62175461197
210,2016-11-01,10830.25534912491
211,2016-11-02,10829.513226474763
212,2016-11-03,10828.039074863435
213,2016-11-04,10763.740498508454
