train/critic_loss,time/fps,time/total_timesteps,time/time_elapsed,time/episodes,train/n_updates,train/actor_loss,train/reward,train/learning_rate
0.014666470450762388,62,6040,97,4,4530,2.5621070647081794,-0.02193801,0.001
0.0034507544814155666,56,12080,214,8,10570,1.7198171922702663,-0.02193801,0.001
0.0034588490206893187,53,18120,335,12,16610,1.1185486186813836,-0.02193801,0.001
0.0006270288426732792,52,24160,457,16,22650,0.7245881127600639,-0.02193801,0.001
0.00040910294011932186,52,30200,574,20,28690,0.4979615640956045,-0.02193801,0.001
0.00021951730132360468,52,36240,692,24,34730,0.33415294594519973,-0.02193801,0.001
0.00016540125282620086,51,42280,814,28,40770,0.21670986276786058,-0.02193801,0.001
0.0001610794840157934,51,48320,932,32,46810,0.14239371464347209,-0.02193801,0.001
