,date,account_value
0,2016-01-04,10000.0
1,2016-01-05,10179.62068032837
2,2016-01-06,10199.181177612305
3,2016-01-07,10214.776411529541
4,2016-01-08,10079.647482391358
5,2016-01-11,10184.795050140381
6,2016-01-12,10164.258669372559
7,2016-01-13,9926.327639099121
8,2016-01-14,10086.250719543457
9,2016-01-15,9931.246843811035
10,2016-01-19,10075.58320855713
11,2016-01-20,9858.517420288086
12,2016-01-21,10030.622309204102
13,2016-01-22,10123.85977029419
14,2016-01-25,10218.650976654053
15,2016-01-26,10316.778997894287
16,2016-01-27,10329.367800231934
17,2016-01-28,10414.241255279541
18,2016-01-29,10653.085031982422
19,2016-02-01,10782.600954528809
20,2016-02-02,10698.80565499878
21,2016-02-03,10552.41498803711
22,2016-02-04,10533.221144195557
23,2016-02-05,10372.73309564209
24,2016-02-08,10392.212763305664
25,2016-02-09,10334.930716033936
26,2016-02-10,10354.334738250733
27,2016-02-11,10281.992392059326
28,2016-02-12,10404.856863494873
29,2016-02-16,10430.84826135254
30,2016-02-17,10429.920393463135
31,2016-02-18,10200.366224761963
32,2016-02-19,10220.960737701416
33,2016-02-22,10350.784048553467
34,2016-02-23,10390.03642892456
35,2016-02-24,10451.347296234131
36,2016-02-25,10581.97337197876
37,2016-02-26,10433.724188323975
38,2016-02-29,10423.729074951172
39,2016-03-01,10502.30049371338
40,2016-03-02,10466.879274841309
41,2016-03-03,10389.626352783203
42,2016-03-04,10464.204031463623
43,2016-03-07,10559.870474334717
44,2016-03-08,10622.05385446167
45,2016-03-09,10672.931875701905
46,2016-03-10,10677.00600289917
47,2016-03-11,10719.569433685303
48,2016-03-14,10789.660589691162
49,2016-03-15,10873.708677764893
50,2016-03-16,10869.518171783448
51,2016-03-17,10809.718901153565
52,2016-03-18,10804.027380462647
53,2016-03-21,10880.146620269776
54,2016-03-22,10871.252699371338
55,2016-03-23,10849.351362701416
56,2016-03-24,10860.786489959717
57,2016-03-28,10866.19707345581
58,2016-03-29,10890.894735809326
59,2016-03-30,11031.494574066162
60,2016-03-31,10998.914915557862
61,2016-04-01,11100.730749603272
62,2016-04-04,11125.553923126221
63,2016-04-05,11077.800039764405
