Date,Capital
2016-01-04,10000.0
2016-01-05,10039.960892559988
2016-01-06,9895.146094567235
2016-01-07,9668.78985211904
2016-01-08,9578.794401273037
2016-01-11,9595.969231762156
2016-01-12,9662.387356401954
2016-01-13,9459.932532527351
2016-01-14,9617.943514983945
2016-01-15,9444.020155142714
2016-01-19,9463.834654377262
2016-01-20,9352.69568361027
2016-01-21,9412.986038480945
2016-01-22,9489.719017922233
2016-01-25,9383.8463872781
2016-01-26,9550.580088116036
2016-01-27,9440.79694985789
2016-01-28,9466.311601842104
2016-01-29,9787.847546342698
2016-02-01,9800.257718606177
2016-02-02,9605.278456442047
2016-02-03,9695.938276551733
2016-02-04,9714.499466013543
2016-02-05,9609.827813176878
2016-02-08,9514.790488860335
2016-02-09,9528.26133558999
2016-02-10,9498.626532294926
2016-02-11,9388.694977172143
2016-02-12,9564.539231813696
2016-02-16,9675.95201145147
2016-02-17,9852.11175188037
2016-02-18,9794.216264297922
2016-02-19,9781.754331762684
2016-02-22,9902.201673440612
2016-02-23,9786.290503924274
2016-02-24,9811.4745445799
2016-02-25,9919.406182556806
2016-02-26,9877.771133184515
2016-02-29,9794.496179097952
2016-03-01,10034.3498016145
2016-03-02,10052.5740225806
2016-03-03,10073.706450638358
2016-03-04,10099.16330667641
2016-03-07,10130.36190238821
2016-03-08,10084.352950425042
2016-03-09,10131.029668687706
2016-03-10,10132.96423012087
2016-03-11,10260.698043862598
2016-03-14,10267.400398340333
2016-03-15,10277.295001558548
2016-03-16,10337.129807951575
2016-03-17,10420.56506514441
2016-03-18,10490.89826698628
2016-03-21,10514.528810318157
2016-03-22,10507.607435735878
2016-03-23,10440.063417103258
2016-03-24,10450.23436250624
2016-03-28,10443.430066700574
2016-03-29,10517.495563236514
2016-03-30,10568.822438799614
2016-03-31,10561.900333720316
2016-04-01,10643.493999625893
2016-04-04,10611.171456212653
2016-04-05,10519.984787936419
2016-04-06,10615.934394569938
2016-04-07,10498.111463263343
2016-04-08,10522.611568055067
2016-04-11,10490.229958291713
2016-04-12,10588.8509755414
2016-04-13,10696.353265622107
2016-04-14,10700.138302987563
2016-04-15,10684.863116677072
2016-04-18,10760.908746738824
2016-04-19,10805.330612551736
2016-04-20,10795.068532096666
2016-04-21,10715.687902114087
2016-04-22,10730.969631326225
2016-04-25,10711.08069171022
2016-04-26,10723.286690112045
2016-04-27,10760.214302375694
2016-04-28,10647.764015905312
2016-04-29,10603.044609503006
2016-05-02,10688.623357897983
2016-05-03,10616.415418431336
2016-05-04,10563.164149370568
2016-05-05,10564.221219810725
2016-05-06,10592.81275184542
2016-05-09,10592.871728888782
2016-05-10,10709.113696456028
2016-05-11,10595.05442767674
