date,account_value
2016-01-04,10000.0
2016-01-05,10029.807974576952
2016-01-06,9870.64772295952
2016-01-07,9457.331675291063
2016-01-08,9243.480784177782
2016-01-11,9259.425715208057
2016-01-12,9380.904356718065
2016-01-13,9111.090672254564
2016-01-14,9188.091639280321
2016-01-15,8934.614113569263
2016-01-19,8964.973547697069
2016-01-20,8687.27237391472
2016-01-21,8776.429428815845
2016-01-22,8863.325323820116
2016-01-25,8820.36348605156
2016-01-26,9103.887419462206
2016-01-27,8292.58001971245
2016-01-28,8394.047692060472
2016-01-29,8544.988165616991
2016-02-01,8646.096241712572
2016-02-02,8359.419056653976
2016-02-03,8668.043637037279
2016-02-04,8791.49641299248
2016-02-05,8716.513828992845
2016-02-08,8497.815409421923
2016-02-09,8456.00903773308
2016-02-10,8353.591257810596
2016-02-11,7787.137650251391
2016-02-12,7800.789370298387
2016-02-16,8085.272486448289
2016-02-17,8353.041405439379
2016-02-18,8440.56860995293
2016-02-19,8268.19035601616
2016-02-22,8427.839955091478
2016-02-23,8392.300163984302
2016-02-24,8298.950152158739
2016-02-25,8387.05461382866
2016-02-26,8482.904896497728
2016-02-29,8484.286003828052
2016-03-01,8612.443981885912
2016-03-02,8590.327408552173
2016-03-03,8587.63851618767
2016-03-04,8692.382160902025
2016-03-07,8822.976496458057
2016-03-08,8783.456045866014
2016-03-09,8819.944351911547
2016-03-10,8825.676829099657
2016-03-11,8946.770243406298
2016-03-14,9069.103386640549
2016-03-15,9071.005041837696
2016-03-16,9157.845694303514
2016-03-17,9381.618628263475
2016-03-18,9614.753109693529
2016-03-21,9750.611626386644
2016-03-22,9697.882191419605
2016-03-23,9536.14471316338
2016-03-24,9483.128277540209
2016-03-28,9423.667786359789
2016-03-29,9394.918762922289
2016-03-30,9230.888394117359
2016-03-31,9113.488108396534
2016-04-01,9115.146601438524
2016-04-04,9071.07135272026
2016-04-05,9120.111622571947
2016-04-06,9184.729231595995
2016-04-07,9117.674706220629
2016-04-08,9180.626971006393
2016-04-11,9182.854437589645
2016-04-12,9294.730597257618
2016-04-13,9414.509249448778
2016-04-14,9393.785721540455
2016-04-15,9413.292675733568
2016-04-18,9472.815220594408
2016-04-19,9523.452673673632
2016-04-20,9372.628998517992
2016-04-21,9384.518652677538
2016-04-22,9406.61800456047
2016-04-25,9385.02801203728
2016-04-26,9562.9105155468
2016-04-27,9835.995960950853
2016-04-28,9672.282036542894
2016-04-29,9672.032603025438
2016-05-02,9615.518378019337
2016-05-03,9507.182497739792
2016-05-04,9392.547838926317
2016-05-05,9477.55146098137
2016-05-06,9561.808623075487
2016-05-09,9478.87872195244
2016-05-10,9666.366089582447
2016-05-11,9620.742068052296
2016-05-12,9722.60700106621
2016-05-13,9556.845598936083
2016-05-16,9703.239239454271
2016-05-17,9589.248833417896
2016-05-18,9476.31539988518
2016-05-19,9266.454464673998
2016-05-20,9216.949051618578
2016-05-23,9230.923889875416
2016-05-24,9225.49546694756
2016-05-25,9323.931452512743
2016-05-26,9356.553047895435
2016-05-27,9350.051529645922
2016-05-31,9128.626374006275
2016-06-01,9147.048105955126
2016-06-02,9178.596598386766
2016-06-03,9216.848000288011
2016-06-06,9542.855112791065
2016-06-07,9545.107969999315
2016-06-08,9622.222426176075
2016-06-09,9629.594443082811
2016-06-10,9488.11190867424
2016-06-13,9399.820250272753
2016-06-14,9441.660526990894
2016-06-15,9417.077761411669
2016-06-16,9360.219732999803
2016-06-17,9392.148340940477
2016-06-20,9603.315756559374
2016-06-21,9514.833374738695
2016-06-22,9532.77308535576
2016-06-23,9661.215643644335
2016-06-24,9153.811976194382
2016-06-27,8878.11993288994
2016-06-28,8964.262829542162
2016-06-29,9187.923626661302
2016-06-30,9395.81538462639
2016-07-01,9382.907343626022
2016-07-05,9186.617138624193
2016-07-06,9186.022421598436
2016-07-07,9201.253576993942
2016-07-08,9411.923453092575
2016-07-11,9552.563606977463
2016-07-12,9463.997843503952
2016-07-13,9413.40951037407
2016-07-14,9517.660195112232
2016-07-15,9578.209168195726
2016-07-18,9653.425328016283
2016-07-19,9742.104008436205
2016-07-20,9746.449255704882
2016-07-21,9660.542401075365
2016-07-22,9656.039986371994
2016-07-25,9617.527113676075
2016-07-26,9755.065352201464
2016-07-27,9836.527964353563
2016-07-28,9624.185902357103
2016-07-29,9671.015202283861
2016-08-01,9638.996100187303
2016-08-02,9522.575070142748
2016-08-03,9542.339165449146
2016-08-04,9494.913143873217
2016-08-05,9532.769106626512
2016-08-08,9566.136893033981
2016-08-09,9597.236138105396
2016-08-10,9651.56305575371
2016-08-11,9703.88122057915
2016-08-12,9711.207918882374
2016-08-15,9824.898356199266
2016-08-16,9849.589823484424
2016-08-17,9829.200073957445
2016-08-18,9849.520390272144
2016-08-19,9808.881558179857
2016-08-22,9848.662167310718
2016-08-23,9786.957020521166
2016-08-24,9724.983370542528
2016-08-25,9702.344126462938
2016-08-26,9647.68328356743
2016-08-29,9696.354851484302
2016-08-30,9544.251335859302
2016-08-31,9445.420817136766
2016-09-01,9478.277580976488
2016-09-02,9570.092085599901
2016-09-06,9703.102303266525
2016-09-07,9677.812969923021
2016-09-08,9696.053938627247
2016-09-09,9377.862513303757
2016-09-12,9493.967388868334
2016-09-13,9395.697129011156
2016-09-14,9317.353533506395
2016-09-15,9325.501356840135
2016-09-16,9247.577437162401
2016-09-19,9303.961121320728
2016-09-20,9326.49217104912
2016-09-21,9527.826884031298
2016-09-22,9623.295622587206
2016-09-23,9616.312165021898
2016-09-26,9528.400490522386
2016-09-27,9582.962908506395
2016-09-28,9649.305907011034
2016-09-29,9561.672058820726
2016-09-30,9613.4833381176
2016-10-03,9659.880554914476
2016-10-04,9650.539778470995
2016-10-05,9825.724716901781
2016-10-06,9808.474562406544
2016-10-07,9767.082791090015
2016-10-10,9912.190117597582
2016-10-11,9759.60739016533
2016-10-12,9717.688912153246
2016-10-13,9733.598820447924
2016-10-14,9742.470661878586
2016-10-17,9778.794480085377
2016-10-18,9858.730675458908
2016-10-19,9937.151812314989
2016-10-20,9912.423903226854
2016-10-21,9897.05469965935
2016-10-24,10029.585009336473
2016-10-25,10143.839085340502
2016-10-26,10617.134165525438
2016-10-27,10454.79077601433
2016-10-28,10432.81078219414
2016-10-31,10390.608700513842
2016-11-01,10388.684029340746
2016-11-02,10268.044605970385
2016-11-03,10214.707699537279
2016-11-04,10179.589388608934
2016-11-07,10433.628374814989
2016-11-08,10452.82321238518
2016-11-09,10664.459774732592
2016-11-10,10854.175740003588
2016-11-11,10915.115200757982
2016-11-14,11022.151440382006
2016-11-15,10884.778057813646
2016-11-16,10763.13048052788
2016-11-17,10681.817568540575
2016-11-18,10756.552984952928
2016-11-21,10806.016371488573
2016-11-22,10989.143267393114
2016-11-23,11005.125036954882
2016-11-25,11027.226961851122
2016-11-28,11007.400456190111
2016-11-29,11144.344685316088
2016-11-30,11065.019903898241
2016-12-01,11198.81602740288
2016-12-02,11188.659117460253
2016-12-05,11181.88273882866
2016-12-06,11187.937838315966
2016-12-07,11327.354050397875
2016-12-08,11419.163563489916
2016-12-09,11500.158821821215
2016-12-12,11549.078818082811
2016-12-13,11512.897146940233
2016-12-14,11352.492285490038
2016-12-15,11301.36770129204
2016-12-16,11354.870081663134
2016-12-19,11478.074108839037
2016-12-20,11493.530106306078
2016-12-21,11573.39228320122
2016-12-22,11571.748526334764
2016-12-23,11597.437012434008
2016-12-27,11573.438818693163
2016-12-28,11472.243572950365
2016-12-29,11442.207764387133
2016-12-30,11441.26433825493
2017-01-03,11535.825043439867
2017-01-04,11656.647829771044
2017-01-05,11663.378880262377
2017-01-06,11692.246752500536
2017-01-09,11635.368403196337
2017-01-10,11690.329630613329
2017-01-11,11714.646488904955
